Component,Part,References,Quantity Per PCB,Part Number,MFG,dsp_value
1,C_0.1uF_50V_5mm,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C13 C15 C16 C17 C22 C24 C25 C26 C27 C28,21,K104K15X7RF53H5,Vishay,0.1uF
2,C_1uF_50V_0805_x7r,C12 C14 C23,3,UMK212BJ105KG-T,Taiyo Yuden,1uF 50V
3,C_22pF_0603_50V,C20 C21,2,GRM1885C1H220JA01D,Murata,22 pF
4,1N5711,D2 D4 D6,3,,,
5,1n4148,D3,1,1n4148,,
6,D_Schottky_BAS70H,D1 D5 D7,3,"BAS70H,115",NXP,70V 70mA
7,D_TVS_5V_ESD9B5.0ST5G,D9 D10,2,ESD9B5.0ST5G,On Semi,5V
8,LED_3mm_Red,D12,1,LTL-4221N,Lite ON,Red
9,LED_Lumex_SSA_10X_Red,D8 D11,2,SSA-LXH1025ID,Lumex,
10,Polyfuse_500mA,F1,1,MF-MSMF050-2,Bourns,500 mA
11,BNC,J1 J3,2,731375003,Molex,
12,Conn_45A_PP,J2,1,2X 1336G1 and 1X 114555P2,Anderson,
13,ICSP_header,J5,1,,,
14,USB_B_Micro,J4,1,105017-0001,Molex,USB
15,SolderJumper_2_Open,JP1,1,,,
16,BS170,Q1 Q2 Q3 Q5 Q6,5,BS170-D27Z,On Semi,
17,BSH203,Q4,1,"BSH203,215",NXP,
18,R_100K_6.3mm,R3 R10 R11,3,MFR-25FTF52-100K,Yageo,100K
19,R_10K_6.3mm,R6 R7 R12 R14 R15 R17 R20 R21 R24 R25,10,MFR-25FRF52-10K,Yageo,10K
20,R_24_sm1206,R18 R19,2,CR1206-FX-24R0ELF,Bourns,24R
21,R_4.7K_6.3mm,R1 R5 R9 R13 R16 R22 R23,7,MFR-25FTF52-4K7,Yageo,4.7K
22,R_49.9_2W_th,R4 R8,2,MOS2CT52R49R9F,KOA,49.9
23,R_562_6.3mm,R2,1,MFR-25FBF52-562R,Yageo,562
24,R_Array_5X_2K_TH,R26 R27,2,4610X-102-202LF,Bourns,2K
25,R_POT_5K_3306F-1-502,RV1,1,3306F-1-502,Bourns,5K
26,SW_Push_TH,SW1,1,Generic Push Button,,10W / 100W
27,Transformer_BN43-202_tandem_match,T1,1,BN43-202,,
28,78L05,U3,1,L78L05ABZ-TR,ST Micro,+5V
29,ATmega32U4-AU,U4,1,ATMEGA32U4-AU,Atmel,ATMEGA32U4
30,LMC6482,U1 U2,2,LMC6482IMX/NOPB,TI,LMC6482
31,Crystal_16M_SMT,Y1,1,ECS-160-20-3X-TR,ECS,16 MHz
